Albania,Ally
Antigua and Barbuda,Ally
Argentina,Ally
Australia,Ally
Bahamas,Ally
Barbados,Ally
Belgium,Ally
Belize,Ally
Bolivia,Ally
Brazil,Ally
Bulgaria,Ally
Canada,Ally
Chile,Ally
Colombia,Ally
Costa Rica,Ally
Croatia,Ally
Denmark,Ally
Dominica,Ally
Dominican Republic,Ally
Ecuador,Ally
El Salvador,Ally
Estonia,Ally
France,Ally
Germany,Ally
Greece,Ally
Grenada,Ally
Guatemala,Ally
Guyana,Ally
Haiti,Ally
Honduras,Ally
Hungary,Ally
Iceland,Ally
India,Ally
Israel,Ally
Italy,Ally
Jamaica,Ally
Japan,Ally
Kenya,Ally
Latvia,Ally
Lithuania,Ally
Luxembourg,Ally
Mexico,Ally
Montenegro,Ally
Netherlands,Ally
Nicaragua,Competitor
Nigeria,Ally
Norway,Ally
Panama,Ally
Paraguay,Ally
Peru,Ally
Philippines,Ally
Poland,Ally
Portugal,Ally
Romania,Ally
Saint Kitts and Nevis,Ally
Saint Lucia,Ally
Saint Vincent and the Grenadines,Ally
Slovakia,Ally
Slovenia,Ally
South Africa,Ally
South Korea,Ally
Spain,Ally
Suriname,Ally
Trinidad and Tobago,Ally
Turkey,Ally
United Kingdom,Ally
United States of America,Ally
Cuba,Competitor
Afghanistan,Competitor
Iran,Competitor
North Korea,Competitor
Pakistan,Competitor
Russia,Competitor
Syria,Competitor
China,Competitor
Azerbaijan,Competitor
Central African Republic,Competitor
Comoros,Competitor
Saudi Arabia,Competitor
Tajikistan,Competitor
Turkmenistan,Competitor
Vietnam,Competitor
Iraq,Neutral
Lebanon,Neutral
Libya,Neutral
Somalia,Neutral
South Sudan,Neutral
Sudan,Neutral
Algeria,Competitor
Andorra,Neutral
Angola,Neutral
Armenia,Neutral
Austria,Neutral
Bahrain,Neutral
Bangladesh,Neutral
Belarus,Neutral
Benin,Neutral
Bhutan,Neutral
Bosnia and Herzegovina,Neutral
Botswana,Neutral
Brunei,Neutral
Burkina Faso,Neutral
Burundi,Neutral
Cabo Verde,Neutral
Cambodia,Neutral
Cameroon,Neutral
Chad,Neutral
Congo (Congo-Brazzaville),Neutral
Cyprus,Neutral
Czechia (Czech Republic),Neutral
Democratic Republic of the Congo,Neutral
Djibouti,Neutral
East Timor (Timor-Leste),Neutral
Egypt,Neutral
Equatorial Guinea,Neutral
Eritrea,Neutral
Eswatani,Neutral
Ethiopia,Neutral
Fiji,Neutral
Finland,Neutral
Gabon,Neutral
Gambia,Neutral
Georgia,Neutral
Ghana,Neutral
Guinea,Neutral
Guinea-Bissau,Neutral
Indonesia,Neutral
Ireland,Neutral
Ivory Coast,Neutral
Jordan,Neutral
Kazakhstan,Neutral
Kiribati,Neutral
Kosovo,Neutral
Kuwait,Neutral
Kyrgyzstan,Neutral
Laos,Neutral
Lesotho,Neutral
Liberia,Neutral
Liechtenstein,Neutral
Madagascar,Neutral
Malawi,Neutral
Malaysia,Neutral
Maldives,Neutral
Mali,Neutral
Malta,Neutral
Marshall Islands,Neutral
Mauritania,Neutral
Mauritius,Neutral
Micronesia,Neutral
Moldova,Neutral
Monaco,Neutral
Mongolia,Neutral
Morocco,Neutral
Mozambique,Neutral
Myanmar (formerly Burma),Neutral
Namibia,Neutral
Nauru,Neutral
Nepal,Neutral
New Zealand,Neutral
Niger,Neutral
North Macedonia (formerly Macedonia),Neutral
Oman,Neutral
Palau,Neutral
Palestine State,Neutral
Papua New Guinea,Neutral
Qatar,Neutral
Rwanda,Neutral
Samoa,Neutral
San Marino,Neutral
Sao Tome and Principe,Neutral
Senegal,Neutral
Serbia,Neutral
Seychelles,Neutral
Sierra Leone,Neutral
Singapore,Neutral
Solomon Islands,Neutral
Sri Lanka,Neutral
Sweden,Neutral
Switzerland,Neutral
Taiwan,Neutral
Tanzania,Neutral
Thailand,Neutral
Togo,Neutral
Tonga,Neutral
Tunisia,Neutral
Tuvalu,Neutral
Uganda,Neutral
Ukraine,Neutral
United Arab Emirates,Neutral
Uruguay,Neutral
Uzbekistan,Neutral
Vanuatu,Neutral
Vatican City (Holy See),Neutral
Venezuela,Neutral
Yemen,Neutral
Zambia,Neutral
Zimbabwe,Neutral
